text,source,label
They don’t make skits like this no more,youtube,
The real dark psychology,youtube,
Me at age 45 hanging out with my fratbros (21) bullying my lame as sht son,youtube,
My favorite skit,youtube,
"OMFG... I thought I wanted to see this episode... Now I don&#39;t... 😑<br>This was harsh AF... Funny, but a lot harder than funnier... This guys are talking about some real deep stuff (not using the sh word) here...",youtube,
It’s in the parenting!!! I saw a black guy beat up his son in the mall and all the Filipino men sitting in the table all looked in disbelief.,youtube,
I knew that was bubbles,youtube,
&quot;I need to take you home and beat on you cause I hate myself.&quot; 😮😂,youtube,
“GIMMIE THAT” 🤣,youtube,
Yoooooo 😭😂😂 this is incredibly sad and hilarious at the same time 😂😂😂,youtube,
"My psychology class showed us this video for anti bullying, and I realized that I learned more about psychology from this video than I did from class😂",youtube,
If only we all had the guts to say what we really mean 😂,youtube,
"The subtlety in this scene is awe-inspiring. If you look very closely, you get this sense that the bully has some underlying pain. And, even though he looks confident, you can almost feel his reluctance as he walks to the car. It almost makes you sympathize with him.",youtube,
"Um, this was powerful actually.",youtube,
If you are a kid whos being bullied or a bully I suggest going to your local boxing gym. A bullied kid will learn how to defend himself and grow in confidence and the bully will will get to release anger and also be taught self control and discipline. 🥊,youtube,
On  scout  camp.  The  big  bully  tried  extorting  money out a  me. I  threw an old aluminium  cup  of  boiling  fat  down his  legs.. End  off😢,youtube,
"<a href=""https://www.youtube.com/watch?v=CUvFeyGxaaU&amp;t=47"">0:47</a><br>😂😂😂",youtube,
"<a href=""https://www.youtube.com/watch?v=CUvFeyGxaaU&amp;t=113"">1:53</a> when you been jorkin it all day and now u blowing ghost loads",youtube,
"I Never Judge someone else Doing School Dont Say B Word Action The Not Friend Not Nice your Friend 😔 honest To Nice Person Treating Other Showing a Respect <a href=""https://www.youtube.com/watch?v=CUvFeyGxaaU&amp;t=125"">2:05</a>",youtube,
This reminds me of TACO. He is always projecting like this episode! Lol,youtube,
Some Madtv stuff here,youtube,
“I’m reading at a 3rd grade level.” 😅😂,youtube,
I love to read my book series Diary of a wimpy kid that always cheers me up ❤❤❤❤❤❤,youtube,
Is this satire or comedy?,youtube,
Thats Bubs from the wire 🤓,youtube,
This is like &quot;if you adapt a novel into a movie... WORD BY WORD&quot;,youtube,
"Came here to laugh, but ended up feeling sad!",youtube,
why bully talks like Tyler the Creator in 2011?,youtube,
"I love how they both look like 45 year old 5th graders. We overlook that, though, for the sake of the comedy. It&#39;s a small price to pay.",youtube,
2025 anyone one??🥺,youtube,
Sad but true 😕,youtube,
Is…is that bubbles?,youtube,
that was deep!,youtube,
I thought it was funny in the beginning but when the dad showed up it got dark and morbid really fast.,youtube,
Oh another light hearted sketch from key and peele,youtube,
&quot;Coming reluctantly&quot; got me dying 😂,youtube,
"This is so powerful, reflective of many many deeply rooted diseases in our individual selves and in the society at large.",youtube,
Growing up I was bullied by my brother and at school.,youtube,
That&#39;s... that&#39;s Andre Royo as the dad!,youtube,
Average bully in England,youtube,
When palestinains were also fighting bullies ( isreal ) they were shamed (called terrorists ),youtube,
This is so real and so sad,youtube,
"This is a great educational video, not many kids know that this is why bullies bully.",youtube,
Okay.....this dude needed help like asap &amp; im glad he admitted that he is yelling for HELP!,youtube,
Imran abbas naqvi Islamabad se he us ne muje hackd rakha he jo hero he khuda muhabbat ka bahot pareshan karta he sare phone mere ghar ke hackd he Kuchh bi likhta he jo uski khopri me aye bahot bada shaytan he 7 sal se me hackd hu Chhote Chhote bachcho ko bi hackd karke pareshan karta he gandi bate mere Chhote se bachcho ko likhta he pese mang raha he eddres nahi bhejta tv bi hackd he meri ye such he ha 😢😢😢 Please help me 😢,youtube,
Plz reply sir agr hmny maloom krna ho k hmra koi qareebi  jail mai to nhi is wajh sy agr kisi ny osky hilaaf complaint ki ho to kaisy pta chly ga or 6 months ki qaid kis jurm mai hoti hai ??? Plzzzz reply,youtube,
BEST AND HUMBLE PERSON EVER.,youtube,
Please help me i am facing the same situation getting blackmailed by a person from Canada. He demands of money if i deny he will upload my picture and info on social media plz help me out.i did all the above mentioned things to cyber crime department.,youtube,
Good information 👍,youtube,
Meri behna muje pata karwna hai k Meray Suhar ney teesri shaadi to Nahin ki,youtube,
Beta agr bina koi sabut sy apko koi lot kr ly jy iska kia Hal huga,youtube,
Mere behnoi ne meri behn ko mar diya zulm kr k plz ap log allah se dua kro wo admi brbad ho jae aziyt se mare,youtube,
Or number dial krty hi wrong number ka bola jy ga😂😂😂😂,youtube,
Yeh Pakistani hai mam,youtube,
Punjab police chor,youtube,
Sindh main koun sa number dail karain,youtube,
Assalam walekum sasural wale mujh mart ha Gali jatha,youtube,
Please meri mot ho gayi gi,youtube,
Madad kara meri,youtube,
